Calibration,Run,Wafer,Run-Wafer,Etch Rate_B,Etch Rate_C,Etch Rate_D
2,27,132,27-Feb,610.69,581.93,579.12
2,27,132,27-Feb,616.97,591.44,584.80
2,27,133,27-Mar,627.42,571.37,572.72
2,27,133,27-Mar,610.73,569.15,644.48
2,27,133,27-Mar,593.37,562.38,602.34
2,27,133,27-Mar,605.64,565.65,584.41
2,27,134,27-Apr,615.25,582.78,565.53
2,27,134,27-Apr,624.10,585.38,600.26
2,27,134,27-Apr,626.39,581.45,616.01
2,27,134,27-Apr,630.03,586.10,632.73
2,27,135,27-May,613.80,587.98,560.65
2,27,135,27-May,611.25,549.93,611.95
2,27,135,27-May,575.17,566.16,622.79
2,27,135,27-May,606.87,550.12,586.07
2,28,136,28-Jan,592.61,606.04,568.14
2,28,136,28-Jan,594.09,620.96,595.45
2,28,136,28-Jan,611.18,630.93,585.90
2,28,136,28-Jan,624.35,573.38,572.20
2,28,137,28-Feb,613.40,578.84,554.15
2,28,137,28-Feb,621.74,611.33,598.58
2,28,137,28-Feb,582.90,604.53,644.02
2,28,137,28-Feb,621.02,571.94,674.18
2,28,138,28-Mar,604.31,610.34,533.79
2,28,138,28-Mar,617.82,589.34,629.63
2,28,138,28-Mar,587.56,603.01,596.48
2,28,138,28-Mar,628.85,598.76,596.18
2,28,139,28-Apr,617.07,606.44,614.74
2,28,139,28-Apr,598.32,555.59,640.93
2,28,139,28-Apr,613.21,584.62,632.75
2,28,139,28-Apr,607.50,610.10,608.25
2,28,140,28-May,613.75,595.76,610.03
2,28,140,28-May,597.15,593.40,628.41
2,28,140,28-May,614.70,618.31,613.79
2,28,140,28-May,616.07,614.61,659.87
2,29,141,29-Jan,625.47,611.28,563.05
2,29,141,29-Jan,573.76,580.44,586.20
2,29,141,29-Jan,586.71,606.30,629.91
2,29,141,29-Jan,614.66,621.79,577.51
2,29,142,29-2,607.62,647.40,628.54
2,29,142,29-2,630.91,601.03,528.31
2,29,142,29-2,599.48,595.49,658.12
2,29,142,29-2,608.23,590.51,675.52
2,29,143,29-Mar,590.43,610.01,587.24
2,29,143,29-Mar,618.65,595.48,570.58
2,29,143,29-Mar,587.27,606.02,593.41
2,29,143,29-Mar,595.34,586.70,562.83
2,29,144,29-Apr,615.47,605.93,655.37
2,29,144,29-Apr,598.59,595.63,628.09
2,29,144,29-Apr,610.28,596.57,570.66
2,29,144,29-Apr,616.56,608.37,610.59
2,29,145,29-May,595.51,596.03,632.44
2,29,145,29-May,622.65,610.23,676.25
2,29,145,29-May,605.87,614.86,580.49
2,29,145,29-May,621.72,600.03,565.84
2,30,146,30-Jan,620.52,577.30,667.50
2,30,146,30-Jan,603.50,605.95,641.24
2,30,146,30-Jan,629.96,578.12,608.93
